"id","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate"
1,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","1998/2016"
2,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","2016"
3,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","1680/2017"
4,"ISO3166-2:BE","Belgium","BE","present","escape:food_bait","2000/2017"
5,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","1972/2015"
6,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","2014/2015"
7,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","1990/2017"
8,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","2007/2016"
9,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","2013/2015"
10,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","2009/2015"
11,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1892/1947"
12,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","1955"
13,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1895/1949"
14,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1907"
15,"ISO3166-2:BE","Belgium","BE","present","escape:agriculture | contaminant:on_animals","1888/2016"
16,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","1997/2017"
17,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","2007/2016"
18,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1895"
19,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1947/1948"
20,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1895/1947"
21,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1947"
22,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1911"
23,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1949"
24,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1911/1951"
25,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed","2001/2002"
26,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1908/1928"
27,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1857/2017"
28,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1886/2017"
29,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1835/2017"
30,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1890/1911"
31,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1890/1949"
32,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","1874/2016"
33,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1939/1949"
34,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1884/1959"
35,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","2005/2016"
36,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1850/2017"
37,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1874/1962"
38,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1870/2017"
39,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1904/2015"
40,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1898/2013"
41,"ISO3166-2:BE","Belgium","BE","present","escape:horticulture","1857/2017"
42,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1911/1949"
43,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1947/1949"
44,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1892/1948"
45,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1947/1975"
46,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed","1952/2009"
47,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1959"
48,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed","1957/2017"
49,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1857/2017"
50,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1959"
51,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1887/2007"
52,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1903/2009"
53,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1857/1975"
54,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed","1992/2005"
55,"ISO3166-2:BE","Belgium","BE","present","contaminant:seed","1983/2003"
56,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals | contaminant:seed","1905/2013"
57,"ISO3166-2:BE","Belgium","BE","present","","1983/2015"
58,"ISO3166-2:BE","Belgium","BE","present","","1985"
59,"ISO3166-2:BE","Belgium","BE","present","contaminant:on_animals","1906"
